,AREA,PERIMETER,ANGLE,FERET,FERETX,FERETY,FERETZ,MINFERET,LENGTH,Area/Perimeter,Perimeter/Angle,Area/Angle,Area/FeretX,Area/FeretY,Area/FeretZ,Perimeter/FeretX,Perimeter/FeretY,Perimeter/FeretZ,Angle/FeretX,Angle/FeretY,Angle/FeretZ,TYPE
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,103,102,0,102,585,612,0,0,102,1.009803922,0,0,0.176068376,0.168300654,0,0.174358974,0.166666667,0,0,0,0,Fourth
2,40,39.115,-85.601,39.115,636,597,94.399,0,39.115,1.022625591,-0.456945596,-0.467284261,0.062893082,0.067001675,0.423733302,0.061501572,0.065519263,0.414358203,-0.134592767,-0.14338526,-0.90679986,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,92,91.241,9.462,91.241,489,714,9.462,0,91.241,1.008318629,9.642887339,9.723102938,0.188139059,0.128851541,9.723102938,0.186586912,0.127788515,9.642887339,0.019349693,0.013252101,1,Fourth
2,26,24.739,-75.964,24.739,531,696,104.036,0,24.739,1.050972149,-0.325667421,-0.34226739,0.048964218,0.037356322,0.249913491,0.046589454,0.03554454,0.237792687,-0.14305838,-0.109143678,-0.730170326,Fourth
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,Fourth
1,96,94.726,10.954,94.726,537,690,10.954,3.55E-15,94.726,1.013449317,8.647617309,8.763921855,0.17877095,0.139130435,8.763921855,0.17639851,0.137284058,8.647617309,0.02039851,0.015875362,1,Fourth
2,39,37.947,-71.565,37.947,579,660,108.435,1.78E-15,37.947,1.027749229,-0.530245232,-0.544959128,0.067357513,0.059090909,0.359662471,0.06553886,0.057495455,0.349951584,-0.123601036,-0.108431818,-0.659980634,Fourth
3,91,90.449,-5.711,90.449,543,675,174.289,0,90.449,1.006091831,-15.83768167,-15.93416214,0.167587477,0.134814815,0.522121304,0.166572744,0.133998519,0.518959888,-0.010517495,-0.008460741,-0.032767415,Fourth
