,AREA,PERIMETER,ANGLE,FERET,FERETX,FERETY,FERETZ,MINFERET,LENGTH,TYPE,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,73,72.062,2.386,72.062,582,408,2.386,0,72.062,First,,,,,,,,,,,
2,34,33,-90,33,618,390,90,0,33,First,,,,,,,,,,,
3,69,68.411,-15.255,68.411,588,399,164.745,0,68.411,First,,,,,,,,,,,
4,54,53.413,-128.157,53.413,603,429,51.843,0,53.413,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,75,74.216,14.036,74.216,558,483,14.036,0,74.216,First,,,,,,,,,,,
2,43,41.677,-59.744,41.677,582,459,120.256,0,41.677,First,,,,,,,,,,,
3,68,66.611,-7.765,66.611,561,471,172.235,0,66.611,First,,,,,,,,,,,
4,53,51.614,-125.538,51.614,579,495,54.462,0,51.614,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,96,94.763,7.275,94.763,526,490,7.275,1.78E-15,94.763,First,,,,,,,,,,,
2,32,31.305,-63.435,31.305,572,470,116.565,0,31.305,First,,,,,,,,,,,
3,85,84.095,-2.726,84.095,536,482,177.274,0,84.095,First,,,,,,,,,,,
4,65,63.53,-151.821,63.53,542,500,28.179,0,63.53,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,89,87.727,24.228,87.727,584,426,24.228,0,87.727,First,,,,,,,,,,,
2,38,36.77,-45,36.77,608,396,135,0,36.77,First,,,,,,,,,,,
3,78,76.655,15.124,76.655,582,416,15.124,3.55E-15,76.655,First,,,,,,,,,,,
4,58,56.851,-140.711,56.851,596,426,39.289,0,56.851,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,85,84.024,1.364,84.024,630,348,1.364,0,84.024,First,,,,,,,,,,,
2,37,35.777,-63.435,35.777,662,336,116.565,0,35.777,First,,,,,,,,,,,
3,77,76.42,-6.009,76.42,632,346,173.991,0,76.42,First,,,,,,,,,,,
4,62,61.221,-141.633,61.221,656,368,38.367,3.55E-15,61.221,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,84,82.873,8.326,82.873,528,510,8.326,0,82.873,First,,,,,,,,,,,
2,31,29.53,-61.699,29.53,556,492,118.301,1.78E-15,29.53,First,,,,,,,,,,,
3,76,74.673,-7.696,74.673,526,504,172.304,0,74.673,First,,,,,,,,,,,
4,68,66.573,-147.265,66.573,542,520,32.735,3.55E-15,66.573,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,84,82.873,8.326,82.873,528,510,8.326,0,82.873,First,,,,,,,,,,,
2,31,29.53,-61.699,29.53,556,492,118.301,1.78E-15,29.53,First,,,,,,,,,,,
3,76,74.673,-7.696,74.673,526,504,172.304,0,74.673,First,,,,,,,,,,,
4,68,66.573,-147.265,66.573,542,520,32.735,3.55E-15,66.573,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,97,95.859,-20.136,95.859,576,675,159.864,0,95.859,First,,,,,,,,,,,
2,33,32.311,-111.801,32.311,618,711,68.199,0,32.311,First,,,,,,,,,,,
3,73,72.25,-41.634,72.25,594,669,138.366,0,72.25,First,,,,,,,,,,,
4,88,87.361,164.055,87.361,585,675,164.055,0,87.361,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
2,75,74.216,-14.036,74.216,682,432,165.964,0,74.216,First,,,,,,,,,,,
3,32,31.048,-104.931,31.048,714,452,75.069,0,31.048,First,,,,,,,,,,,
4,66,65.299,-27.35,65.299,690,426,152.65,0,65.299,First,,,,,,,,,,,
5,71,69.971,-30.964,69.971,688,422,149.036,0,69.971,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,106,105,-36.87,105,606,588,143.13,0,105,First,,,,,,,,,,,
2,42,40.804,-143.973,40.804,636,639,36.027,0,40.804,First,,,,,,,,,,,
3,76,75,-53.13,75,630,591,126.87,7.11E-15,75,First,,,,,,,,,,,
4,78,77.13,166.504,77.13,618,603,166.504,0,77.13,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
